objectid,title,creator,date,description,subject,extent,medium,source,identifier,format,rights,rightsstatement,display_template,object rename ,object_location,image_small,image_thumb,image_alt_text
ArtLoanProgram_00001,Along the Stream,"Bestine, J.",,black ink drawing,nature ; water ; landscape,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 1",ArtLoan_b1_0001,image/tiff,,,image,/objects/ArtLoan_b1_0001.jpg,,,,
ArtLoanProgram_00002,Two Women,M,,block print,women,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 2",ArtLoan_b1_0002,image/tiff,,,image,/objects/ArtLoan_b1_0002.jpg,,,,
ArtLoanProgram_00003,The Pilot,"Wilkinson, Norman",,dry-point,ships ; water,Less than 17 in. x 21 in.,dry point,"Art Loan, box 1, item 3",ArtLoan_b1_0003,image/tiff,,,image,/objects/ArtLoan_b1_0003.jpg,,,,
ArtLoanProgram_00004,Faces,Justin,,color ink,people ; flower,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 4",ArtLoan_b1_0004,image/tiff,,,image,/objects/ArtLoan_b1_0004.jpg,,,,
ArtLoanProgram_00005,Rough Going,"Peck, Laurence R.",,black and white etching,horses ; field,Less than 17 in. x 21 in.,etching,"Art Loan, box 1, item 5",ArtLoan_b1_0005,image/tiff,,,image,/objects/ArtLoan_b1_0005.jpg,,,,
ArtLoanProgram_00006,Let's wait a minute,"Ramsey, Doopi",,"color ink, proof",abtract ; colorful,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 6",ArtLoan_b1_0006,image/tiff,,,image,/objects/ArtLoan_b1_0006.jpg,,,,
ArtLoanProgram_00007,Three Men,"La, F.",,pencil drawing,game ; abstract,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 7",ArtLoan_b1_0007,image/tiff,,,image,/objects/ArtLoan_b1_0007.jpg,,,,
ArtLoanProgram_00008,Canal,"Pfaubal, Milo",,black and white drawing,canal ; boat ; water,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 8",ArtLoan_b1_0008,image/tiff,,,image,/objects/ArtLoan_b1_0008.jpg,,,,
ArtLoanProgram_00009,Bridge,"Boizant, L.",,color ink,bridge ; water ; town,Less than 17 in. x 21 in.,watercolor,"Art Loan, box 1, item 9",ArtLoan_b1_0009,image/tiff,,,image,/objects/ArtLoan_b1_0009.jpg,,,,
ArtLoanProgram_00010,Two Working Men,"Avent, Aurden",,charcoal,town ; seascape,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 10",ArtLoan_b1_0010,image/tiff,,,image,/objects/ArtLoan_b1_0010.jpg,,,,
