objectid,title,creator,date,description,subject,extent,medium,source,identifier,format,available,rightsstatement,display_template,object_location,object_location_calc,image_small,image_thumb,image_alt_text,filename
ArtLoanProgram_00001,Along the Stream,"Bestine, J.",,black ink drawing,nature ; water ; landscape,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 1",artloan_b1_0001,image/jpeg,yes,,image,,/objects/artloan_b1_0001.jpg,,,,artloan_b1_0001.jpg
ArtLoanProgram_00002,Two Women,M,,block print,women,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 2",artloan_b1_0002,image/jpeg,no,,image,,/objects/artloan_b1_0002.jpg,,,,artloan_b1_0002.jpg
ArtLoanProgram_00004,Faces,Justin,,color ink,people ; flower,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 4",artloan_b1_0004,image/jpeg,yes,,image,,/objects/artloan_b1_0004.jpg,,,,artloan_b1_0004.jpg
ArtLoanProgram_00005,Rough Going,"Peck, Laurence R.",,black and white etching,horses ; field,Less than 17 in. x 21 in.,etching,"Art Loan, box 1, item 5",artloan_b1_0005,image/jpeg,yes,,image,,/objects/artloan_b1_0005.jpg,,,,artloan_b1_0005.jpg
ArtLoanProgram_00006,Let's wait a minute,"Ramsey, Doopi",,"color ink, proof",abtract ; colorful,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 6",artloan_b1_0006,image/jpeg,yes,,image,,/objects/artloan_b1_0006.jpg,,,,artloan_b1_0006.jpg
ArtLoanProgram_00007,Three Men,"La, F.",,pencil drawing,game ; abstract,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 7",artloan_b1_0007,image/jpeg,yes,,image,,/objects/artloan_b1_0007.jpg,,,,artloan_b1_0007.jpg
ArtLoanProgram_00008,Canal,"Pfaubal, Milo",,black and white drawing,canal ; boat ; water,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 8",artloan_b1_0008,image/jpeg,yes,,image,,/objects/artloan_b1_0008.jpg,,,,artloan_b1_0008.jpg
ArtLoanProgram_00009,Bridge,"Boizant, L.",,color ink,bridge ; water ; town,Less than 17 in. x 21 in.,watercolor,"Art Loan, box 1, item 9",artloan_b1_0009,image/jpeg,yes,,image,,/objects/artloan_b1_0009.jpg,,,,artloan_b1_0009.jpg
ArtLoanProgram_00010,Two Working Men,"Avent, Aurden",,charcoal,town ; seascape,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 10",artloan_b1_0010,image/jpeg,yes,,image,,/objects/artloan_b1_0010.jpg,,,,artloan_b1_0010.jpg
ArtLoanProgram_00011,Sunrise Shadows,"Margolies, S.L.",,black and white etching,animals ; deer ; trees,Less than 17 in. x 21 in.,etching,"Art Loan, box 1, item 11",artloan_b1_0011,image/jpeg,yes,,image,,/objects/artloan_b1_0011.jpg,,,,artloan_b1_0011.jpg
ArtLoanProgram_00012,Willie May,"Brook, Alexander",,lithograph,girl,Less than 17 in. x 21 in.,lithograph,"Art Loan, box 1, item 12",artloan_b1_0012,image/jpeg,yes,,image,,/objects/artloan_b1_0012.jpg,,,,artloan_b1_0012.jpg
ArtLoanProgram_00013,Woman,"Casteel, Homer",,black and white drawing,portrait,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 13",artloan_b1_0013,image/jpeg,yes,,image,,/objects/artloan_b1_0013.jpg,,,,artloan_b1_0013.jpg
ArtLoanProgram_00014,Cityscape,"Wolchuiok, Laura",,watercolor,city ; colorful,Less than 17 in. x 21 in.,watercolor,"Art Loan, box 1, item 14",artloan_b1_0014,image/jpeg,yes,,image,,/objects/artloan_b1_0014.jpg,,,,artloan_b1_0014.jpg
ArtLoanProgram_00015,Still Life,"Millie, S.",1988-09,black and white etching,flowers ; candle ; still life,Less than 17 in. x 21 in.,etching,"Art Loan, box 1, item 15",artloan_b1_0015,image/jpeg,yes,,image,,/objects/artloan_b1_0015.jpg,,,,artloan_b1_0015.jpg
ArtLoanProgram_00016,"Cape May Point, N.J.",Gustovoy,1969,black and white drawing,ocean ; beach ; landscape,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 16",artloan_b1_0016,image/jpeg,yes,,image,,/objects/artloan_b1_0016.jpg,,,,artloan_b1_0016.jpg
ArtLoanProgram_00017,Tree,"P., Sam",1971-09,ink drawing,tree,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 17",artloan_b1_0017,image/jpeg,yes,,image,,/objects/artloan_b1_0017.jpg,,,,artloan_b1_0017.jpg
ArtLoanProgram_00018,"Trinity Church, New York City","Swann, Don",,ink drawing,cityscape ; people,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 18",artloan_b1_0018,image/jpeg,yes,,image,,/objects/artloan_b1_0018.jpg,,,,artloan_b1_0018.jpg
